ID,q1,q3,V0,T0,c0,N_frac,R,Delta_viable,Delta_total
11,1.432591724,1.11423061,0.005,0.995,0.017236283,5,0.5,-51.5893862311558,-11.9119718
12,0.874594851,1.788590309,0.005,0.995,0.027926038,5,0.1,-31.1270474371859,-3.31027270000001
12,0.874594851,1.788590309,0.005,0.995,0.027926038,5,0.2,-45.0789181909548,-5.1510515
12,0.874594851,1.788590309,0.005,0.995,0.027926038,5,0.3,-52.0614044221106,-6.163704
12,0.874594851,1.788590309,0.005,0.995,0.027926038,5,0.4,-57.1101495477387,-6.87659049999999
12,0.874594851,1.788590309,0.005,0.995,0.027926038,5,0.5,-58.2897694472362,-6.9673397
13,0.151125722,0.210278702,0.005,0.995,0.142555664,5,0.1,-81.2565473366834,-22.1283632
13,0.151125722,0.210278702,0.005,0.995,0.142555664,5,0.2,-94.1757561809045,-36.3767522
13,0.151125722,0.210278702,0.005,0.995,0.142555664,5,0.3,-99.9914952763819,-83.5270284
13,0.151125722,0.210278702,0.005,0.995,0.142555664,5,0.4,-99.9999999974583,-73.573445997471
13,0.151125722,0.210278702,0.005,0.995,0.142555664,5,0.5,-99.9999999997814,-64.6241972997825
14,0.576871497,9.408545067,0.005,0.995,0.041737123,5,0.1,-36.8842667336683,-0.603507000000014
14,0.576871497,9.408545067,0.005,0.995,0.041737123,5,0.2,-51.347244321608,-0.942012999999997
14,0.576871497,9.408545067,0.005,0.995,0.041737123,5,0.3,-58.2916770854271,-1.11308389999999
14,0.576871497,9.408545067,0.005,0.995,0.041737123,5,0.4,-63.4853794974874,-1.3016371
14,0.576871497,9.408545067,0.005,0.995,0.041737123,5,0.5,-64.6930659296483,-1.3106025
15,1.655272366,5.617622466,0.005,0.995,0.014952189,5,0.1,-19.5276287437186,-1.2708342
15,1.655272366,5.617622466,0.005,0.995,0.014952189,5,0.2,-30.3077632160804,-2.3061802
15,1.655272366,5.617622466,0.005,0.995,0.014952189,5,0.3,-35.9561120603015,-2.88872079999999
15,1.655272366,5.617622466,0.005,0.995,0.014952189,5,0.4,-40.0308508542714,-3.39735
15,1.655272366,5.617622466,0.005,0.995,0.014952189,5,0.5,-41.0663867336683,-3.5736361
16,1.241905872,8.960229189,0.005,0.995,0.019830311,5,0.1,-23.0483152763819,-0.728359999999995
16,1.241905872,8.960229189,0.005,0.995,0.019830311,5,0.2,-34.6161181909548,-1.18859969999999
16,1.241905872,8.960229189,0.005,0.995,0.019830311,5,0.3,-40.5593720603015,-1.4812274
16,1.241905872,8.960229189,0.005,0.995,0.019830311,5,0.4,-44.8282258291457,-1.7619065
16,1.241905872,8.960229189,0.005,0.995,0.019830311,5,0.5,-45.8265688442211,-1.840449
17,1.295829499,5.638730445,0.005,0.995,0.019020804,5,0.1,-22.8113372864322,-1.1579946
17,1.295829499,5.638730445,0.005,0.995,0.019020804,5,0.2,-34.4043975879397,-1.8906211
17,1.295829499,5.638730445,0.005,0.995,0.019020804,5,0.3,-40.395487638191,-2.34234299999999
17,1.295829499,5.638730445,0.005,0.995,0.019020804,5,0.4,-44.6893628140704,-2.72163900000001
17,1.295829499,5.638730445,0.005,0.995,0.019020804,5,0.5,-45.7228219095477,-2.8337638
18,0.442858197,9.386164599,0.005,0.995,0.053689095,5,0.1,-42.8403904522613,-0.582133600000001
18,0.442858197,9.386164599,0.005,0.995,0.053689095,5,0.2,-58.0277383919598,-0.90280880000001
18,0.442858197,9.386164599,0.005,0.995,0.053689095,5,0.3,-65.1831387939698,-1.0634039
18,0.442858197,9.386164599,0.005,0.995,0.053689095,5,0.4,-70.7421236180904,-1.25708160000001
18,0.442858197,9.386164599,0.005,0.995,0.053689095,5,0.5,-72.1732115577889,-1.2662259
19,1.423912673,8.333535651,0.005,0.995,0.01733952,5,0.1,-21.1249870351759,-0.802385000000005
19,1.423912673,8.333535651,0.005,0.995,0.01733952,5,0.2,-32.2130072361809,-1.40853759999999
19,1.423912673,8.333535651,0.005,0.995,0.01733952,5,0.3,-37.9704410050251,-1.78608339999999
19,1.423912673,8.333535651,0.005,0.995,0.01733952,5,0.4,-42.1170472361809,-2.1472221
19,1.423912673,8.333535651,0.005,0.995,0.01733952,5,0.5,-43.1082787939699,-2.2590767
20,2.479394001,2.210361106,0.005,0.995,0.010032115,5,0.1,-18.2476982914573,-4.84086169999999
20,2.479394001,2.210361106,0.005,0.995,0.010032115,5,0.2,-28.6160231155779,-7.3801359
20,2.479394001,2.210361106,0.005,0.995,0.010032115,5,0.3,-34.1987273366834,-8.74133279999999
20,2.479394001,2.210361106,0.005,0.995,0.010032115,5,0.4,-38.1974006030151,-9.7356451
20,2.479394001,2.210361106,0.005,0.995,0.010032115,5,0.5,-39.358132160804,-10.0491033
21,2.033657673,5.504692869,0.005,0.995,0.012204115,5,0.1,-17.4859116582915,-1.82283120000001
21,2.033657673,5.504692869,0.005,0.995,0.012204115,5,0.2,-27.6237266331658,-3.17179359999999
21,2.033657673,5.504692869,0.005,0.995,0.012204115,5,0.3,-32.9530181909548,-3.85548
21,2.033657673,5.504692869,0.005,0.995,0.012204115,5,0.4,-36.8788684422111,-4.51538560000001
21,2.033657673,5.504692869,0.005,0.995,0.012204115,5,0.5,-37.9265786934673,-4.7554499
22,1.482520841,1.900078563,0.005,0.995,0.016665464,5,0.1,-23.0928811055276,-3.4845371
22,1.482520841,1.900078563,0.005,0.995,0.016665464,5,0.2,-35.2801809045226,-5.6697506
22,1.482520841,1.900078563,0.005,0.995,0.016665464,5,0.3,-41.6658244221105,-6.89937799999999
22,1.482520841,1.900078563,0.005,0.995,0.016665464,5,0.4,-46.1378131658291,-7.69228709999999
22,1.482520841,1.900078563,0.005,0.995,0.016665464,5,0.5,-47.2366373869347,-7.83199140000001
23,2.427951611,1.991486455,0.005,0.995,0.010242494,5,0.1,-18.5895423115578,-4.9566953
23,2.427951611,1.991486455,0.005,0.995,0.010242494,5,0.2,-29.2384765829146,-7.7070757
23,2.427951611,1.991486455,0.005,0.995,0.010242494,5,0.3,-34.9582606030151,-9.1722521
23,2.427951611,1.991486455,0.005,0.995,0.010242494,5,0.4,-38.9967302512563,-10.1764195
23,2.427951611,1.991486455,0.005,0.995,0.010242494,5,0.5,-40.1338285427136,-10.4491799
24,2.243564673,1.298390357,0.005,0.995,0.011074948,5,0.1,-20.6281899497487,-6.16848149999999
24,2.243564673,1.298390357,0.005,0.995,0.011074948,5,0.2,-32.512979798995,-9.94679740000001
24,2.243564673,1.298390357,0.005,0.995,0.011074948,5,0.3,-38.7559329648241,-11.8253416
24,2.243564673,1.298390357,0.005,0.995,0.011074948,5,0.4,-42.8589251256281,-12.7767176
24,2.243564673,1.298390357,0.005,0.995,0.011074948,5,0.5,-43.7460299497488,-12.7153831
25,1.485581243,4.301719318,0.005,0.995,0.016631703,5,0.1,-21.2404711557789,-1.5523007
25,1.485581243,4.301719318,0.005,0.995,0.016631703,5,0.2,-32.5300210050251,-2.6356771
25,1.485581243,4.301719318,0.005,0.995,0.016631703,5,0.3,-38.4322633165829,-3.27703979999999
25,1.485581243,4.301719318,0.005,0.995,0.016631703,5,0.4,-42.6532460301508,-3.78266420000001
25,1.485581243,4.301719318,0.005,0.995,0.016631703,5,0.5,-43.7139847236181,-3.94430419999999
26,0.090334184,3.477188841,0.005,0.995,0.217613624,5,0.1,-80.4155424120603,-1.5301613
26,0.090334184,3.477188841,0.005,0.995,0.217613624,5,0.2,-89.9550115577889,-2.6164557
26,0.090334184,3.477188841,0.005,0.995,0.217613624,5,0.3,-91.8136354773869,-3.6584233
26,0.090334184,3.477188841,0.005,0.995,0.217613624,5,0.4,-94.3269753768844,-4.96268409999999
26,0.090334184,3.477188841,0.005,0.995,0.217613624,5,0.5,-93.6388024120603,-6.1402398
27,0.241831377,5.701315236,0.005,0.995,0.094118632,5,0.1,-58.627248040201,-0.897002899999999
27,0.241831377,5.701315236,0.005,0.995,0.094118632,5,0.2,-74.2504925628141,-1.3848172
27,0.241831377,5.701315236,0.005,0.995,0.094118632,5,0.3,-81.6548212060301,-1.7005871
27,0.241831377,5.701315236,0.005,0.995,0.094118632,5,0.4,-88.1526774874372,-2.2085951
27,0.241831377,5.701315236,0.005,0.995,0.094118632,5,0.5,-89.8304374874372,-2.5251855
28,0.171954318,4.54583163,0.005,0.995,0.127489522,5,0.1,-67.718199798995,-1.1202052
28,0.171954318,4.54583163,0.005,0.995,0.127489522,5,0.2,-82.3453585929648,-1.77465609999999
28,0.171954318,4.54583163,0.005,0.995,0.127489522,5,0.3,-87.9912210050251,-2.33666140000001
28,0.171954318,4.54583163,0.005,0.995,0.127489522,5,0.4,-92.0761451256281,-3.1216192
28,0.171954318,4.54583163,0.005,0.995,0.127489522,5,0.5,-92.2623574874372,-3.77798279999999
29,1.129140501,7.390723582,0.005,0.995,0.021767621,5,0.1,-24.6416909547739,-0.864589699999996
29,1.129140501,7.390723582,0.005,0.995,0.021767621,5,0.2,-36.6588832160804,-1.3863238
29,1.129140501,7.390723582,0.005,0.995,0.021767621,5,0.3,-42.7703227135678,-1.68442950000001
29,1.129140501,7.390723582,0.005,0.995,0.021767621,5,0.4,-47.1633418090452,-1.9594558
29,1.129140501,7.390723582,0.005,0.995,0.021767621,5,0.5,-48.1833541708543,-2.02707560000001
30,0.940116217,4.564159402,0.005,0.995,0.026030397,5,0.1,-28.0919871356784,-1.3392934
30,0.940116217,4.564159402,0.005,0.995,0.026030397,5,0.2,-41.0394748743719,-2.1156093
30,0.940116217,4.564159402,0.005,0.995,0.026030397,5,0.3,-47.5288142713568,-2.5412882
30,0.940116217,4.564159402,0.005,0.995,0.026030397,5,0.4,-52.2166910552764,-2.8878616
30,0.940116217,4.564159402,0.005,0.995,0.026030397,5,0.5,-53.2913447236181,-2.9467325
31,2.426368444,5.30341637,0.005,0.995,0.010249108,5,0.1,-16.8003182914573,-3.232232
31,2.426368444,5.30341637,0.005,0.995,0.010249108,5,0.2,-26.2353251256281,-4.6906765
31,2.426368444,5.30341637,0.005,0.995,0.010249108,5,0.3,-31.1991849246231,-5.38620569999999
31,2.426368444,5.30341637,0.005,0.995,0.010249108,5,0.4,-35.0008012060302,-6.188449
31,2.426368444,5.30341637,0.005,0.995,0.010249108,5,0.5,-36.0572487437186,-6.48564779999999
32,0.426168057,8.386184023,0.005,0.995,0.055674673,5,0.1,-43.8050270351759,-0.645858299999991
32,0.426168057,8.386184023,0.005,0.995,0.055674673,5,0.2,-59.0880584924623,-0.9989833
32,0.426168057,8.386184023,0.005,0.995,0.055674673,5,0.3,-66.2718088442211,-1.1772775
32,0.426168057,8.386184023,0.005,0.995,0.055674673,5,0.4,-71.9021277386935,-1.3915486
32,0.426168057,8.386184023,0.005,0.995,0.055674673,5,0.5,-73.3858740703517,-1.4046325
33,2.420020154,1.58162922,0.005,0.995,0.010275718,5,0.1,-19.425604120603,-5.76726870000001
33,2.420020154,1.58162922,0.005,0.995,0.010275718,5,0.2,-30.5657864321608,-9.05065639999999
33,2.420020154,1.58162922,0.005,0.995,0.010275718,5,0.3,-36.5123269346734,-10.7549027
33,2.420020154,1.58162922,0.005,0.995,0.010275718,5,0.4,-40.5729720603015,-11.7704503
33,2.420020154,1.58162922,0.005,0.995,0.010275718,5,0.5,-41.6090169849246,-11.9072915
34,1.911370779,7.136615507,0.005,0.995,0.012974787,5,0.1,-17.7562196984925,-1.33059270000001
34,1.911370779,7.136615507,0.005,0.995,0.012974787,5,0.2,-27.9646547738693,-2.4580806
34,1.911370779,7.136615507,0.005,0.995,0.012974787,5,0.3,-33.2929677386935,-3.02022869999999
34,1.911370779,7.136615507,0.005,0.995,0.012974787,5,0.4,-37.2261229145729,-3.61168589999999
34,1.911370779,7.136615507,0.005,0.995,0.012974787,5,0.5,-38.2232996984925,-3.8122132
35,2.051997474,3.647678357,0.005,0.995,0.01209636,5,0.1,-17.9945045226131,-2.44028230000001
35,2.051997474,3.647678357,0.005,0.995,0.01209636,5,0.2,-28.4205035175879,-4.1415105
35,2.051997474,3.647678357,0.005,0.995,0.01209636,5,0.3,-33.9500688442211,-5.04827419999999
35,2.051997474,3.647678357,0.005,0.995,0.01209636,5,0.4,-37.9545944723618,-5.79002279999999
35,2.051997474,3.647678357,0.005,0.995,0.01209636,5,0.5,-39.0633249246231,-6.06011160000001
36,1.577265949,3.656558606,0.005,0.995,0.01568008,5,0.1,-20.7216485427136,-1.85789829999999
36,1.577265949,3.656558606,0.005,0.995,0.01568008,5,0.2,-31.9536708542714,-3.18124240000001
36,1.577265949,3.656558606,0.005,0.995,0.01568008,5,0.3,-37.8502474371859,-3.94423690000001
36,1.577265949,3.656558606,0.005,0.995,0.01568008,5,0.4,-42.0593102512563,-4.5257255
36,1.577265949,3.656558606,0.005,0.995,0.01568008,5,0.5,-43.1390663316583,-4.71127450000001
37,1.666743432,3.277748651,0.005,0.995,0.014850811,5,0.1,-20.2517920603015,-2.12390690000001
37,1.666743432,3.277748651,0.005,0.995,0.014850811,5,0.2,-31.4184072361809,-3.64900170000001
37,1.666743432,3.277748651,0.005,0.995,0.014850811,5,0.3,-37.3007215075377,-4.5124203
37,1.666743432,3.277748651,0.005,0.995,0.014850811,5,0.4,-41.4936196984925,-5.1568994
37,1.666743432,3.277748651,0.005,0.995,0.014850811,5,0.5,-42.5876174874372,-5.3618339
38,1.191446026,7.97068261,0.005,0.995,0.020652814,5,0.1,-23.7554669346734,-0.810907800000005
38,1.191446026,7.97068261,0.005,0.995,0.020652814,5,0.2,-35.5273789949749,-1.30779120000001
38,1.191446026,7.97068261,0.005,0.995,0.020652814,5,0.3,-41.5501658291457,-1.60967710000001
38,1.191446026,7.97068261,0.005,0.995,0.020652814,5,0.4,-45.8759339698492,-1.8908289
38,1.191446026,7.97068261,0.005,0.995,0.020652814,5,0.5,-46.8862772864322,-1.966043
39,0.042544499,3.899701686,0.005,0.995,0.371295713,5,0.1,-86.4330750753769,-1.4843697
39,0.042544499,3.899701686,0.005,0.995,0.371295713,5,0.2,-92.475391758794,-2.6954629
39,0.042544499,3.899701686,0.005,0.995,0.371295713,5,0.3,-93.1810139698492,-3.8285883
39,0.042544499,3.899701686,0.005,0.995,0.371295713,5,0.4,-95.3637901507538,-5.21272690000001
