ID,q1,q3,V0,T0,c0,N_frac,R,Beta,Kappa0,Delta_viable,Delta_total,Delta_V
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0.01,1e-07,-99.7476406539008,-98.8776963833907,-99.6975173197367
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.2,0.001,1e-07,-36.2178643216565,-27.4467807958707,-32.9393190035647
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.2,0.003,1e-07,-71.7857081022433,-57.4671605264632,-68.8127102633128
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.2,0.005,1e-07,-86.4309695449208,-72.3147550045481,-84.6100831834623
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.2,0.007,1e-07,-92.9112898332928,-80.3187756713745,-91.8197278073932
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.2,0.009,1e-07,-95.9594341824065,-84.9181085094367,-95.2699252963992
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.2,0.01,1e-07,-96.8474187413514,-86.4798367067429,-96.284394251171
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.3,0.001,1e-07,-25.8680433524615,-16.3965173278936,-23.545522979476
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.3,0.003,1e-07,-57.608778561643,-38.148285180037,-54.5418059037236
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.3,0.005,1e-07,-74.7184828853958,-51.5600470586643,-72.211473552765
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.3,0.007,1e-07,-84.3061598394159,-60.2888408930931,-82.4304115487297
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.3,0.009,1e-07,-89.8397602364759,-66.1837284682189,-88.4470438027917
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.3,0.01,1e-07,-91.6885089735677,-68.4130871904443,-90.4797586474285
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.4,0.001,1e-07,-20.7300047608951,-11.3602093030259,-18.9887350606033
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.4,0.003,1e-07,-49.0841446984865,-27.8242640635197,-46.334055360976
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.4,0.005,1e-07,-66.4933335386636,-39.0295814168769,-63.9072559032852
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.4,0.007,1e-07,-77.4342476130382,-46.9632404600567,-75.2725415087575
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.4,0.009,1e-07,-84.4292831047502,-52.733609377058,-82.6820103056535
