ID,q1,q3,V0,T0,c0,N_frac,R,Beta,Kappa0,Delta_viable,Delta_total,Delta_V
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.1,0.001,1e-07,-11.2257521795953,-0.143689100305122,-41.6229642568254
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.1,0.003,1e-07,-28.1162588811928,-0.721438333158519,-67.8968311369388
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.1,0.005,1e-07,-40.1603399218489,-1.56560087193984,-75.4168231535326
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.1,0.007,1e-07,-49.2563448909927,-2.65156464126821,-79.2482691543824
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.1,0.009,1e-07,-56.4711723682182,-4.06343944913622,-81.9338207615053
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.1,0.01,1e-07,-59.5754211244932,-4.95413964699495,-83.0564597774369
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.2,0.001,1e-07,-11.1396087740928,-0.115477740792969,-27.3762329271348
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.2,0.003,1e-07,-27.8712347860299,-0.519318386692669,-56.9370741452708
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.2,0.005,1e-07,-39.8659909228284,-1.22622126979083,-70.345760262197
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.2,0.007,1e-07,-49.0163500363769,-2.28971011158555,-77.106641485802
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.2,0.009,1e-07,-56.3302110814327,-3.71478354251557,-80.9984081199449
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.2,0.01,1e-07,-59.4781205159245,-4.58831619022266,-82.3997677514598
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.3,0.001,1e-07,-10.6816499918692,-0.101322087330602,-20.3965738179862
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.3,0.003,1e-07,-27.1358106995916,-0.408482158206969,-47.3080054588212
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.3,0.005,1e-07,-39.1060357735039,-0.914072118663356,-62.869877499368
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.3,0.007,1e-07,-48.2466321918689,-1.70918195523595,-72.1521764796186
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.3,0.009,1e-07,-55.5993209357058,-2.87902305869849,-77.907710779575
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.3,0.01,1e-07,-58.8014050826597,-3.61552056002984,-79.9661421886516
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.4,0.001,1e-07,-10.1041179884257,-0.091722374007519,-16.8469503722566
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.4,0.003,1e-07,-26.0985097281317,-0.349711217283988,-41.2015696081324
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.4,0.005,1e-07,-38.0220070321459,-0.750197194509983,-57.0103952272892
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.4,0.007,1e-07,-47.2134423018136,-1.36729306562194,-67.4065400333698
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.4,0.009,1e-07,-54.6039954957802,-2.29096215274849,-74.354567090638
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.4,0.01,1e-07,-57.8238361366876,-2.88508578853426,-76.9420294017904
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.5,0.001,1e-07,-9.43466858288417,-0.0830763150283187,-14.278944319607
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.5,0.003,1e-07,-24.7523375580821,-0.304230574010544,-36.1329120325236
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.5,0.005,1e-07,-36.4829444923404,-0.624964289443208,-51.4435812415384
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.5,0.007,1e-07,-45.6606831403098,-1.08785060919326,-62.261061327068
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.5,0.009,1e-07,-53.0455590724891,-1.75391868671779,-69.9759417805858
1,0.226731679055356,6.71154148520028,0.005,0.995,0.0997613625764066,5,0.5,0.01,1e-07,-56.2487564745979,-2.18572167241682,-72.9790383019746
2,0.57314559339555,1.77483948328884,0.005,0.995,0.0419970529021694,5,0.1,0.001,1e-07,-12.2373769702453,-1.25110817647934,-41.7576575543842
2,0.57314559339555,1.77483948328884,0.005,0.995,0.0419970529021694,5,0.1,0.003,1e-07,-32.1593925472208,-6.03522572562678,-68.8680117436858
2,0.57314559339555,1.77483948328884,0.005,0.995,0.0419970529021694,5,0.1,0.005,1e-07,-47.252013423927,-12.7000407414413,-77.59895394427
2,0.57314559339555,1.77483948328884,0.005,0.995,0.0419970529021694,5,0.1,0.007,1e-07,-59.2223594382977,-21.0802081490054,-82.7250839739967
2,0.57314559339555,1.77483948328884,0.005,0.995,0.0419970529021694,5,0.1,0.009,1e-07,-71.1884302760254,-34.4899567818112,-86.8619142910981
2,0.57314559339555,1.77483948328884,0.005,0.995,0.0419970529021694,5,0.1,0.01,1e-07,-78.3059607331253,-45.7883693017975,-89.161284612597
