ID,q1,q3,V0,T0,c0,N_frac,R,Beta,Kappa0,Delta_viable,Delta_total
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.1,0,1e-07,-59.6891057563617,-51.3832044248409
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.1,0.001,1e-07,-94.6957953542258,-87.7546793147155
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.1,0.003,1e-07,-99.9876507815933,-98.4303444866129
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.1,0.005,1e-07,-99.9999995482495,-99.5917730165501
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.1,0.007,1e-07,-99.9999999998615,-99.8077325336701
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.1,0.009,1e-07,-99.9999999999998,-99.875943462281
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.1,0.01,1e-07,-100,-99.8932856514927
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.2,0,1e-07,-54.2273540319131,-39.9830685261162
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.2,0.001,1e-07,-83.0403859049398,-65.6071482573731
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.2,0.003,1e-07,-95.9912365581287,-82.0815615211253
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.2,0.005,1e-07,-99.4154191771926,-89.4454950962554
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.2,0.007,1e-07,-99.96360409445,-92.8280024529621
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.2,0.009,1e-07,-99.9992274365238,-94.4890586720882
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.2,0.01,1e-07,-99.9998927151039,-95.0057224249439
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.3,0,1e-07,-47.9214327639334,-29.6639875211412
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.3,0.001,1e-07,-72.5827590003305,-47.8571582715355
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.3,0.003,1e-07,-87.3675314150996,-62.079165727423
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.3,0.005,1e-07,-94.5499911988844,-70.96405290446
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.3,0.007,1e-07,-97.8828468771971,-76.6300545188051
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.3,0.009,1e-07,-99.2953018548129,-80.3079067955068
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.3,0.01,1e-07,-99.6208298775179,-81.6505037916373
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.4,0,1e-07,-44.6324311375353,-23.8543802796841
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.4,0.001,1e-07,-66.7040805641273,-37.8431623702951
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.4,0.003,1e-07,-81.0447518447841,-49.2749805726028
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.4,0.005,1e-07,-89.463224157793,-57.3338008893363
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.4,0.007,1e-07,-94.3541414766839,-63.1168930523766
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.4,0.009,1e-07,-97.1177861520894,-67.3184030010228
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.4,0.01,1e-07,-97.9854385200505,-68.976811685549
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.5,0,1e-07,-41.1333423350118,-19.0257109828234
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.5,0.001,1e-07,-61.150156986708,-29.9720782304319
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.5,0.003,1e-07,-74.7269464440031,-39.0634542325082
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.5,0.005,1e-07,-83.6678888096001,-45.9407548852401
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.5,0.007,1e-07,-89.5907422379795,-51.2351343361259
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.5,0.009,1e-07,-93.4776354578071,-55.3368802909975
1,4.31457928047858,0.0140162286646608,0.0005,0.108666788928102,0.00528867376638211,5,0.5,0.01,1e-07,-94.8757669399625,-57.0348915171113
2,7.27249924945216,9.76782389882029,0.0005,0.0292579506173389,0.0050755185146583,5,0.1,0,1e-07,-1.98300832332452,6.88282590465217
2,7.27249924945216,9.76782389882029,0.0005,0.0292579506173389,0.0050755185146583,5,0.1,0.001,1e-07,-58.8313699637304,-47.5516555224135
