ID,q1,q3,V0,T0,c0,N_frac,R,Delta_viable,Delta_total
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.2,-3.4990199190577,13.3262025028196
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.3,-4.48197075280139,17.6336721483289
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.4,-6.05098512395436,20.1950353229347
11,4.335766412,7.502717419,0.0005,0.042266407,0.005109252,5,0.5,-6.55835022835036,21.479344757674
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.1,-2.16991099263499,6.70710689551914
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.2,-3.89609585010042,12.4503931394282
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.3,-4.87769675230341,16.4576323934823
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.4,-6.53621451828503,18.6487246910592
12,6.930142151,8.584555226,0.0005,0.032120488,0.005082903,5,0.5,-6.95842167777775,19.8269474080216
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.1,-1.27088723516625,8.03914294816386
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.2,-2.41962113137107,15.2053895652425
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.3,-3.18962107237855,20.3280226734527
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.4,-4.4752719633054,23.7825980466772
13,2.241519064,7.553271063,0.0005,0.051531952,0.005133554,5,0.5,-4.95649378855278,25.5481285806844
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.1,-2.68255156212419,6.05486623373372
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.2,-4.72206273500064,11.1732979932845
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.3,-5.90331086352869,14.6536849206019
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.4,-7.7161283894737,16.376978863575
14,8.811355389,6.983591912,0.0005,0.031435817,0.005081135,5,0.5,-8.24788170767121,17.2304218802356
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.1,-0.234278675169564,9.38412626621656
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.2,-0.493974444130496,18.2395972158098
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.3,-0.686141310320887,24.9595542154377
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.4,-1.19758204396534,30.341131033636
15,0.514717924,8.646149506,0.0005,0.055730211,0.005144642,5,0.5,-1.4111627892455,33.3627202643789
16,6.786275193,3.233583158,0.0005,0.049200488,0.005127418,5,0.1,-3.72870285351641,4.97600144288324
16,6.786275193,3.233583158,0.0005,0.049200488,0.005127418,5,0.2,-6.51315287767064,9.11270327969416
16,6.786275193,3.233583158,0.0005,0.049200488,0.005127418,5,0.3,-8.34056361392189,11.665428717722
16,6.786275193,3.233583158,0.0005,0.049200488,0.005127418,5,0.4,-10.5558831042489,12.7013762923213
16,6.786275193,3.233583158,0.0005,0.049200488,0.005127418,5,0.5,-11.5829765753543,12.86150952884
17,4.31733723,6.71118002,0.0005,0.045335823,0.005117277,5,0.1,-2.08046736021534,6.95815148775665
17,4.31733723,6.71118002,0.0005,0.045335823,0.005117277,5,0.2,-3.79377694323537,12.9502441790998
17,4.31733723,6.71118002,0.0005,0.045335823,0.005117277,5,0.3,-4.8737749836371,17.0767720261072
17,4.31733723,6.71118002,0.0005,0.045335823,0.005117277,5,0.4,-6.51580759877239,19.4762795030428
17,4.31733723,6.71118002,0.0005,0.045335823,0.005117277,5,0.5,-7.09044589308546,20.6249880142874
18,5.696177191,4.514230625,0.0005,0.048577175,0.005125779,5,0.1,-2.99737479587894,5.84606387796363
18,5.696177191,4.514230625,0.0005,0.048577175,0.005125779,5,0.2,-5.31089549773119,10.7602526021516
18,5.696177191,4.514230625,0.0005,0.048577175,0.005125779,5,0.3,-6.79940939340339,13.961355762633
18,5.696177191,4.514230625,0.0005,0.048577175,0.005125779,5,0.4,-8.76079763798534,15.5378360714528
18,5.696177191,4.514230625,0.0005,0.048577175,0.005125779,5,0.5,-9.57241132280746,16.0979233217886
19,1.616730049,3.827206493,0.0005,0.093224605,0.005245832,5,0.1,-2.15779299896203,7.28562259611549
19,1.616730049,3.827206493,0.0005,0.093224605,0.005245832,5,0.2,-4.06261201106726,13.6226639738839
19,1.616730049,3.827206493,0.0005,0.093224605,0.005245832,5,0.3,-5.47947186260537,17.8769449068364
19,1.616730049,3.827206493,0.0005,0.093224605,0.005245832,5,0.4,-7.36853108683056,20.4330602406913
19,1.616730049,3.827206493,0.0005,0.093224605,0.005245832,5,0.5,-8.35690427435976,21.4055359315731
20,2.179584057,4.114005386,0.0005,0.080064939,0.005209866,5,0.1,-2.30145557220747,6.99529481428638
20,2.179584057,4.114005386,0.0005,0.080064939,0.005209866,5,0.2,-4.27249435611261,13.0259715085243
20,2.179584057,4.114005386,0.0005,0.080064939,0.005209866,5,0.3,-5.68228747417143,17.0541431180132
20,2.179584057,4.114005386,0.0005,0.080064939,0.005209866,5,0.4,-7.55734666830884,19.405643688255
20,2.179584057,4.114005386,0.0005,0.080064939,0.005209866,5,0.5,-8.47686526058554,20.3032959535909
21,8.056786076,4.020781039,0.0005,0.040898811,0.005105685,5,0.1,-3.44047654588296,5.23125410534133
21,8.056786076,4.020781039,0.0005,0.040898811,0.005105685,5,0.2,-5.99443098724801,9.5982007792446
21,8.056786076,4.020781039,0.0005,0.040898811,0.005105685,5,0.3,-7.61569327773368,12.3752104861176
21,8.056786076,4.020781039,0.0005,0.040898811,0.005105685,5,0.4,-9.68284383621812,13.5848056119293
21,8.056786076,4.020781039,0.0005,0.040898811,0.005105685,5,0.5,-10.5505096468452,13.925996570288
22,9.690474947,3.18066562,0.0005,0.038265976,0.005098831,5,0.1,-3.93737768507459,4.62489581069752
22,9.690474947,3.18066562,0.0005,0.038265976,0.005098831,5,0.2,-6.80175516756715,8.47028590225614
22,9.690474947,3.18066562,0.0005,0.038265976,0.005098831,5,0.3,-8.65081031776114,10.8180843944184
22,9.690474947,3.18066562,0.0005,0.038265976,0.005098831,5,0.4,-10.8840030631912,11.6816096671989
22,9.690474947,3.18066562,0.0005,0.038265976,0.005098831,5,0.5,-11.9024221412777,11.7624150621153
23,3.304254304,6.222974486,0.0005,0.052651968,0.005136508,5,0.1,-1.94083533591755,7.20368999319085
23,3.304254304,6.222974486,0.0005,0.052651968,0.005136508,5,0.2,-3.58158122408644,13.4497729228013
23,3.304254304,6.222974486,0.0005,0.052651968,0.005136508,5,0.3,-4.66070897862734,17.7581552577696
23,3.304254304,6.222974486,0.0005,0.052651968,0.005136508,5,0.4,-6.26945226434842,20.3615546276668
23,3.304254304,6.222974486,0.0005,0.052651968,0.005136508,5,0.5,-6.89163033754028,21.5786196289101
24,6.999414403,4.308170236,0.0005,0.043756353,0.005113145,5,0.1,-3.232456324685,5.51088337532015
24,6.999414403,4.308170236,0.0005,0.043756353,0.005113145,5,0.2,-5.67016862671348,10.1235770602246
24,6.999414403,4.308170236,0.0005,0.043756353,0.005113145,5,0.3,-7.220597201051,13.0940793969173
24,6.999414403,4.308170236,0.0005,0.043756353,0.005113145,5,0.4,-9.23408767636552,14.4668902112201
24,6.999414403,4.308170236,0.0005,0.043756353,0.005113145,5,0.5,-10.0648127598751,14.9128171496644
25,8.794500512,9.738282758,0.0005,0.026861425,0.005069352,5,0.1,-2.22393636971978,6.57561512238489
25,8.794500512,9.738282758,0.0005,0.026861425,0.005069352,5,0.2,-3.96430569115378,12.1925265222846
25,8.794500512,9.738282758,0.0005,0.026861425,0.005069352,5,0.3,-4.89647887258401,16.1460011677023
25,8.794500512,9.738282758,0.0005,0.026861425,0.005069352,5,0.4,-6.58125918487199,18.2221649639958
25,8.794500512,9.738282758,0.0005,0.026861425,0.005069352,5,0.5,-6.92547770641357,19.4209475566422
26,8.972164535,6.781230905,0.0005,0.031506648,0.005081318,5,0.1,-2.73855854167665,5.98572209123556
26,8.972164535,6.781230905,0.0005,0.031506648,0.005081318,5,0.2,-4.81208918194026,11.0400283091188
26,8.972164535,6.781230905,0.0005,0.031506648,0.005081318,5,0.3,-6.01809814868277,14.4644731307071
26,8.972164535,6.781230905,0.0005,0.031506648,0.005081318,5,0.4,-7.84586478383863,16.1432181214353
26,8.972164535,6.781230905,0.0005,0.031506648,0.005081318,5,0.5,-8.393996720946,16.9604670879625
27,1.077006954,1.993713185,0.0005,0.166466598,0.005455438,5,0.1,-3.64435753051191,6.08308914577034
27,1.077006954,1.993713185,0.0005,0.166466598,0.005455438,5,0.2,-6.81668763363565,11.193389111276
27,1.077006954,1.993713185,0.0005,0.166466598,0.005455438,5,0.3,-9.3023947062341,14.2193362531109
27,1.077006954,1.993713185,0.0005,0.166466598,0.005455438,5,0.4,-12.1818264106052,15.5441161950248
27,1.077006954,1.993713185,0.0005,0.166466598,0.005455438,5,0.5,-13.9146473096062,15.5251531207458
28,0.62850075,4.272743083,0.0005,0.105900594,0.005280948,5,0.1,-1.07438207570394,8.73909970840952
28,0.62850075,4.272743083,0.0005,0.105900594,0.005280948,5,0.2,-2.1441881619663,16.7534638011513
28,0.62850075,4.272743083,0.0005,0.105900594,0.005280948,5,0.3,-3.04015197497383,22.502602758026
28,0.62850075,4.272743083,0.0005,0.105900594,0.005280948,5,0.4,-4.44846324469151,26.5620002083823
28,0.62850075,4.272743083,0.0005,0.105900594,0.005280948,5,0.5,-5.27487126276176,28.4817366715077
29,1.903873952,3.440028935,0.0005,0.094425952,0.00524914,5,0.1,-2.56960183996874,6.78621584959189
29,1.903873952,3.440028935,0.0005,0.094425952,0.00524914,5,0.2,-4.77044594689392,12.6037671974046
29,1.903873952,3.440028935,0.0005,0.094425952,0.00524914,5,0.3,-6.3801951395735,16.4112960384111
29,1.903873952,3.440028935,0.0005,0.094425952,0.00524914,5,0.4,-8.43752573445061,18.5428322067289
29,1.903873952,3.440028935,0.0005,0.094425952,0.00524914,5,0.5,-9.51427527042565,19.2402221049097
30,8.811599852,7.978411652,0.0005,0.029605983,0.005076415,5,0.1,-2.49861658030405,6.26389445579638
30,8.811599852,7.978411652,0.0005,0.029605983,0.005076415,5,0.2,-4.41876900354904,11.5797348321096
30,8.811599852,7.978411652,0.0005,0.029605983,0.005076415,5,0.3,-5.49912833497203,15.2475207336694
30,8.811599852,7.978411652,0.0005,0.029605983,0.005076415,5,0.4,-7.26190716248132,17.1068089688352
30,8.811599852,7.978411652,0.0005,0.029605983,0.005076415,5,0.5,-7.71686250039392,18.0965956168912
31,1.206739132,8.801182903,0.0005,0.05071547,0.005131404,5,0.1,-0.615662242704251,8.85871983601829
