ID,q1,q3,V0,T0,c0,N_frac,R,Beta,Kappa0,Delta_viable,Delta_total
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0,1e-07,14.6752979740244,53.5660678581176
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.001,1e-07,3.54359848167636,51.8275083127691
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.003,1e-07,-89.3450011080297,-82.1631483421055
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.005,1e-07,-96.3377276452398,-92.0371576217992
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.007,1e-07,-98.4535587043685,-95.6626317348422
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.009,1e-07,-99.2242925321387,-97.2478443575844
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.1,0.01,1e-07,-99.4201502020432,-97.707061722514
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0,1e-07,-4.64664822468718,52.5748062640935
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.001,1e-07,-17.9734844388792,50.2929561828786
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.003,1e-07,-25.5807865094231,44.2466601206684
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.005,1e-07,-84.4044369990996,-61.9270742045011
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.007,1e-07,-90.9977832444742,-72.3884700697849
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.009,1e-07,-94.2752775580174,-78.1837050737145
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.2,0.01,1e-07,-95.3012054797876,-80.1779890203782
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0,1e-07,-14.3033634874058,51.9964128025581
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.001,1e-07,-29.7423032052008,49.3928910989993
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.003,1e-07,-35.3285827938528,45.2335090069149
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.005,1e-07,-42.7173839512341,36.8372984954104
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.007,1e-07,-82.0746499019867,-42.9317729112126
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.009,1e-07,-87.8318653586586,-52.8501265711179
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.3,0.01,1e-07,-89.722455893541,-56.2195508245856
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0,1e-07,-18.8347913802226,51.6633451041061
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.001,1e-07,-35.3992759010012,48.8682198372755
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.003,1e-07,-40.7481716725711,45.3519238972698
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.005,1e-07,-46.5215168377015,40.0202070670473
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.007,1e-07,-73.0223639679409,-14.3694422441796
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.009,1e-07,-82.2409778799476,-31.9008155954699
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.4,0.01,1e-07,-84.9274856128932,-36.6696441758735
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0,1e-07,-19.3840360992003,51.5699764355935
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.001,1e-07,-36.7013241803105,48.7584597641996
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.003,1e-07,-42.3129587989069,45.6804120723983
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.005,1e-07,-47.6436976288681,41.4164806885396
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.007,1e-07,-52.6035262306818,32.6384394848322
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.009,1e-07,-75.5876441478566,-12.333854211555
1,0.575066384516904,6.49160417719191,0.00275,0.641807680973032,0.00737766547467598,5,0.5,0.01,1e-07,-79.4037477950876,-19.0600230688037
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0,1e-07,1.74389482593351,12.9699538577791
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0.001,1e-07,-57.6699756637361,-45.5233041558393
2,0.986042397279805,9.8877741693265,0.00275,0.293060386995214,0.0058678916499017,5,0.1,0.003,1e-07,-90.6768314300149,-84.2464475500182
